Octave version 3.8.1
Minc-tool-kit version 0.3.18-20130531
NIAK quarantine /home/pbellec/git/niak/commands/misc/niak_gb_vars.m

Pipeline started on 15-Apr-2016 17:42:28
user: pbellec, host: lg-1r17-n02, system: unix
**********************************************
.15-Apr-2016 17:43:44 summary_template submitted  (1 run / 0 fail / 0 done / 1932 left)
15-Apr-2016 17:43:44 report_X0026001  submitted  (2 run / 0 fail / 0 done / 1931 left)
15-Apr-2016 17:43:44 report_X0026002  submitted  (3 run / 0 fail / 0 done / 1930 left)
15-Apr-2016 17:43:44 report_X0026004  submitted  (4 run / 0 fail / 0 done / 1929 left)
15-Apr-2016 17:43:44 report_X0026005  submitted  (5 run / 0 fail / 0 done / 1928 left)
15-Apr-2016 17:43:44 report_X0026009  submitted  (6 run / 0 fail / 0 done / 1927 left)
15-Apr-2016 17:43:44 report_X0026014  submitted  (7 run / 0 fail / 0 done / 1926 left)
15-Apr-2016 17:43:44 report_X0026015  submitted  (8 run / 0 fail / 0 done / 1925 left)
15-Apr-2016 17:43:44 report_X0026016  submitted  (9 run / 0 fail / 0 done / 1924 left)
15-Apr-2016 17:43:44 report_X0026017  submitted  (10 run / 0 fail / 0 done / 1923 left)
15-Apr-2016 17:43:44 report_X0026022  submitted  (11 run / 0 fail / 0 done / 1922 left)
15-Apr-2016 17:43:44 report_X0026024  submitted  (12 run / 0 fail / 0 done / 1921 left)
15-Apr-2016 17:43:44 report_X0026027  submitted  (13 run / 0 fail / 0 done / 1920 left)
15-Apr-2016 17:43:44 report_X0026030  submitted  (14 run / 0 fail / 0 done / 1919 left)
15-Apr-2016 17:43:44 report_X0026039  submitted  (15 run / 0 fail / 0 done / 1918 left)
15-Apr-2016 17:43:44 report_X0026040  submitted  (16 run / 0 fail / 0 done / 1917 left)
15-Apr-2016 17:43:44 report_X0026041  submitted  (17 run / 0 fail / 0 done / 1916 left)
15-Apr-2016 17:43:44 report_X0026042  submitted  (18 run / 0 fail / 0 done / 1915 left)
15-Apr-2016 17:43:44 report_X0026043  submitted  (19 run / 0 fail / 0 done / 1914 left)
15-Apr-2016 17:43:44 report_X0026044  submitted  (20 run / 0 fail / 0 done / 1913 left)
15-Apr-2016 17:43:44 report_X0026045  submitted  (21 run / 0 fail / 0 done / 1912 left)
15-Apr-2016 17:43:44 report_X0026050  submitted  (22 run / 0 fail / 0 done / 1911 left)
15-Apr-2016 17:43:44 report_X0026052  submitted  (23 run / 0 fail / 0 done / 1910 left)
15-Apr-2016 17:43:44 report_X0026053  submitted  (24 run / 0 fail / 0 done / 1909 left)
15-Apr-2016 17:43:44 report_X0026054  submitted  (25 run / 0 fail / 0 done / 1908 left)
15-Apr-2016 17:43:44 report_X0026055  submitted  (26 run / 0 fail / 0 done / 1907 left)
15-Apr-2016 17:43:44 report_X0026057  submitted  (27 run / 0 fail / 0 done / 1906 left)
15-Apr-2016 17:43:44 report_X0020001  submitted  (28 run / 0 fail / 0 done / 1905 left)
15-Apr-2016 17:43:44 report_X0020002  submitted  (29 run / 0 fail / 0 done / 1904 left)
15-Apr-2016 17:43:44 report_X0020003  submitted  (30 run / 0 fail / 0 done / 1903 left)
